sol15417213.txt,http://support.f5.com/kb/en-us/solutions/public/k/15/sol15417213.html,Security Advisory,BIG-IP Link Controller,"['12.1.1', ' 12.1.0', ' 12.0.0', ' 11.6.1', ' 11.6.0', ' 11.5.4', ' 11.5.3', ' 11.5.2', ' 11.5.1', ' 11.5.0', ' 11.4.1', ' 11.4.0', ' 11.2.1', ' 10.2.4', ' 10.2.3', ' 10.2.2', ' 10.2.1', ' 10.2.0', ' 10.1.0']"
sol15417213.txt,http://support.f5.com/kb/en-us/solutions/public/k/15/sol15417213.html,Security Advisory,Enterprise Manager,['3.1.1']
sol15417213.txt,http://support.f5.com/kb/en-us/solutions/public/k/15/sol15417213.html,Security Advisory,BIG-IP AAM,"['12.1.1', ' 12.1.0', ' 12.0.0', ' 11.6.1', ' 11.6.0', ' 11.5.4', ' 11.5.3', ' 11.5.2', ' 11.5.1', ' 11.5.0', ' 11.4.1', ' 11.4.0']"
sol15417213.txt,http://support.f5.com/kb/en-us/solutions/public/k/15/sol15417213.html,Security Advisory,BIG-IP GTM,"['11.6.1', ' 11.6.0', ' 11.5.4', ' 11.5.3', ' 11.5.2', ' 11.5.1', ' 11.5.0', ' 11.4.1', ' 11.4.0', ' 11.2.1', ' 10.2.4', ' 10.2.3', ' 10.2.2', ' 10.2.1', ' 10.2.0', ' 10.1.0']"
sol15417213.txt,http://support.f5.com/kb/en-us/solutions/public/k/15/sol15417213.html,Security Advisory,BIG-IQ ADC,['4.5.0']
sol15417213.txt,http://support.f5.com/kb/en-us/solutions/public/k/15/sol15417213.html,Security Advisory,F5-MOBILESAFE,['1.0.0']
sol15417213.txt,http://support.f5.com/kb/en-us/solutions/public/k/15/sol15417213.html,Security Advisory,BIG-IQ Cloud and Orchestration,['1.0.0']
sol15417213.txt,http://support.f5.com/kb/en-us/solutions/public/k/15/sol15417213.html,Security Advisory,BIG-IQ Device,"['4.5.0', ' 4.4.0', ' 4.3.0', ' 4.2.0']"
sol15417213.txt,http://support.f5.com/kb/en-us/solutions/public/k/15/sol15417213.html,Security Advisory,LineRate,"['2.6.1', ' 2.6.0', ' 2.5.2', ' 2.5.1', ' 2.5.0']"
sol15417213.txt,http://support.f5.com/kb/en-us/solutions/public/k/15/sol15417213.html,Security Advisory,BIG-IQ Centralized Management,"['5.1.0', ' 5.0.0', ' 4.6.0']"
sol15417213.txt,http://support.f5.com/kb/en-us/solutions/public/k/15/sol15417213.html,Security Advisory,BIG-IP ASM,"['12.1.1', ' 12.1.0', ' 12.0.0', ' 11.6.1', ' 11.6.0', ' 11.5.4', ' 11.5.3', ' 11.5.2', ' 11.5.1', ' 11.5.0', ' 11.4.1', ' 11.4.0', ' 11.2.1', ' 10.2.4', ' 10.2.3', ' 10.2.2', ' 10.2.1', ' 10.2.0', ' 10.1.0']"
